url,filename,uppercaption,lowercaption,views,upvote
https://i.imgflip.com/66ukw1.jpg,Captain-Hindsight.jpg,if you didn't want to get caught by the police,then you shouldn't have tried sneaking into a  police station,89,4
https://i.imgflip.com/291fla.jpg,Captain-Hindsight.jpg,if we had never made babies,there would be no school shootings,12401,0
https://i.imgflip.com/1j1ldc.jpg,Captain-Hindsight.jpg,if you dont want to look like an idiot online,you should have done some research before you discuss,12840,0
https://i.imgflip.com/4lvhaa.jpg,Captain-Hindsight.jpg,up up up,and ur gay,1111,4
https://i.imgflip.com/46n7cs.jpg,Captain-Hindsight.jpg,if every single person wore a mask,then everyone would know that catching micron size virus with cheap masks is like using a tuna net to catch guppies.,1722,4
https://i.imgflip.com/25zkn5.jpg,Captain-Hindsight.jpg,if you didn't want trump president,you shouldn't have nominated hitlerry,2465,0
https://i.imgflip.com/33nxl8.jpg,Captain-Hindsight.jpg,if you didn't want your kneecaps broken,you shouldn't have borrowed money from vinny salvatino,2609,0
https://i.imgflip.com/1808nl.jpg,Captain-Hindsight.jpg,if you didn't want to be perceived as dishonest and untrustworthy,then you shouldn't have been dishonest and untrustworthy,11184,0
https://i.imgflip.com/4ebqcw.jpg,Captain-Hindsight.jpg,you should've raked the leaves,"gotta take care of the floors, you know the floors of the forrest it very important",1064,2
https://i.imgflip.com/2qkle3.jpg,Captain-Hindsight.jpg,if you wanted a funny opening monologue,you should not have watched the golden globes,2025,0
https://i.imgflip.com/3bzmek.jpg,Captain-Hindsight.jpg,that is a cloud,thank you captain hindsight,2146,5
https://i.imgflip.com/3x1e6x.jpg,Captain-Hindsight.jpg,if you don't want to be seen desperate on imgflip,then you shouldn't be begging for more upvotes,1183,3
https://i.imgflip.com/1q71wk.jpg,Captain-Hindsight.jpg,if you didn't want your career to end,then you shouldn't have posted a photo of you holding a bloodied decapitated head of the president.,4250,19
https://i.imgflip.com/2uczwd.jpg,Captain-Hindsight.jpg,"if you don't want to lose your career, face jail time and being the most hateful individual",then you shouldn't hired two guys to fake the attack,1539,8
